600299.SH,安迪苏
600315.SH,上海家化
600316.SH,洪都航空
600325.SH,华发股份
600329.SH,达仁堂
600339.SH,中油工程
600348.SH,华阳股份
600350.SH,山东高速
600352.SH,浙江龙盛
600361.SH,创新新材
600369.SH,西南证券
600373.SH,中文传媒
600377.SH,宁沪高速
600378.SH,昊华科技
600380.SH,健康元
600390.SH,五矿资本
600392.SH,盛和资源
600398.SH,海澜之家
600399.SH,抚顺特钢
600416.SH,湘电股份
600418.SH,江淮汽车
600435.SH,北方导航
600481.SH,双良节能
600483.SH,福能股份
600486.SH,扬农化工
600497.SH,驰宏锌锗
600498.SH,烽火通信
600499.SH,科达制造
600500.SH,中化国际
600511.SH,国药股份
600516.SH,方大炭素
600517.SH,国网英大
600521.SH,华海药业
600528.SH,中铁工业
600529.SH,山东药玻
600535.SH,天士力
600536.SH,中国软件
600546.SH,山煤国际
600549.SH,厦门钨业
600563.SH,法拉电子
600566.SH,济川药业
600578.SH,京能电力
600580.SH,卧龙电驱
600582.SH,天地科技
600583.SH,海油工程
600598.SH,北大荒
600612.SH,老凤祥
600637.SH,东方明珠
600642.SH,申能股份
600655.SH,豫园股份
600663.SH,陆家嘴
600673.SH,东阳光
600699.SH,均胜电子
600704.SH,物产中大
600707.SH,彩虹股份
600737.SH,中粮糖业
600739.SH,辽宁成大
600754.SH,锦江酒店
600755.SH,厦门国贸
600763.SH,通策医疗
600764.SH,中国海防
600765.SH,中航重机
600801.SH,华新水泥
600808.SH,马钢股份
600816.SH,建元信托
600820.SH,隧道股份
600827.SH,百联股份
600839.SH,四川长虹
600848.SH,上海临港
600859.SH,王府井
600862.SH,中航高科
600863.SH,内蒙华电
600867.SH,通化东宝
600871.SH,石化油服
600872.SH,中炬高新
600873.SH,梅花生物
600879.SH,航天电子
600884.SH,杉杉股份
600885.SH,宏发股份
600895.SH,张江高科
600901.SH,江苏金租
600906.SH,财达证券
600909.SH,华安证券
600925.SH,苏能股份
600927.SH,永安期货
600928.SH,西安银行
600956.SH,新天绿能
600959.SH,江苏有线
600967.SH,内蒙一机
600968.SH,海油发展
600970.SH,中材国际
600977.SH,中国电影
600985.SH,淮北矿业
600988.SH,赤峰黄金
600995.SH,南网储能
600998.SH,九州通
601000.SH,唐山港
601016.SH,节能风电
601019.SH,山东出版
601058.SH,赛轮轮胎
601077.SH,渝农商行
601098.SH,中南传媒
601106.SH,中国一重
601108.SH,财通证券
601118.SH,海南橡胶
601128.SH,常熟银行
601139.SH,深圳燃气
601155.SH,新城控股
601156.SH,东航物流
601158.SH,重庆水务
601162.SH,天风证券
601168.SH,西部矿业
601179.SH,中国西电
601198.SH,东兴证券
601212.SH,白银有色
601216.SH,君正集团
601228.SH,广州港
601231.SH,环旭电子
601233.SH,桐昆股份
601298.SH,青岛港
601399.SH,国机重装
601456.SH,国联证券
601555.SH,东吴证券
601567.SH,三星医疗
601568.SH,北元集团
601577.SH,长沙银行
601598.SH,中国外运
601608.SH,中信重工
601611.SH,中国核建
601615.SH,明阳智能
601636.SH,旗滨集团
601665.SH,齐鲁银行
601666.SH,平煤股份
601696.SH,中银证券
601717.SH,郑煤机
601828.SH,美凯龙
601858.SH,中国科传
601866.SH,中远海发
601880.SH,辽港股份
601928.SH,凤凰传媒
601933.SH,永辉超市
601958.SH,金钼股份
601965.SH,中国汽研
601966.SH,玲珑轮胎
601990.SH,南京证券
601991.SH,大唐发电
601992.SH,金隅集团
601997.SH,贵阳银行
603000.SH,人民网
